model	adaptor	trigger	query	result	need
manufacturing/textiles/apparel-manufacturing	ToFabricInventory	CutOrderCreated	GetAvailableFabric	AvailableFabricRolls	a cut order needing fabric that exists before it is planned
manufacturing/textiles/apparel-manufacturing	ToFabricInventory	MarkerGenerated	GetFabricRoll	AvailableFabricRolls	the marker needing the roll's actual width and length
manufacturing/textiles/apparel-manufacturing	ToMachineMaintenance	SewingCompleted	GetMachineStatus	MachineStatusResult	a completed sewing run being when the line's condition is worth checking
manufacturing/textiles/apparel-manufacturing	ToOrderManagement	CutOrderCreated	GetSalesOrder	SalesOrderInfo	and the sales order it is cut against
manufacturing/textiles/apparel-manufacturing	ToStyleMaster	BundlesCreated	GetOperationSequence	OperationSequenceResult	bundles needing the operation sequence they will move through
manufacturing/textiles/apparel-manufacturing	ToStyleMaster	CutOrderCreated	GetStyleSpec	StyleSpecResult	a new cut order needing the style it is cutting to
manufacturing/textiles/apparel-manufacturing	ToStyleMaster	TrimmingCompleted	GetTrimRequirements	TrimRequirementsResult	finished trimming needing the requirements to be checked against
manufacturing/textiles/apparel-manufacturing	ToTrimInventory	BundlesCreated	GetTrimAvailability	TrimAvailabilityResult	bundles being unsewable without their trims
manufacturing/textiles/apparel-manufacturing	ToTrimInventory	BundleAssigned	GetTrimItem	TrimItemInfo	and each assignment needing the trim's own specification
manufacturing/textiles/fabric-production	ToCustomerOrderService	FabricLotCreated	GetFabricOrder	FabricOrder	a lot needing the order that called for it
manufacturing/textiles/fabric-production	ToDyeChemicalInventory	DyeingStarted	GetDyeInfo	DyeInfo	dyeing needing the dye's own recipe
manufacturing/textiles/fabric-production	ToDyeChemicalInventory	FinishingApplied	GetChemicalInfo	ChemicalInfo	a finish needing the chemistry it is applied with
manufacturing/textiles/fabric-production	ToYarnInventory	WarpingStarted	GetYarnLotInfo	YarnLotInfo	warping needing the yarn lot's count and strength
marketing/advertising/ad-operations	ToAdExchange	PerformanceRecorded	GetBidResults	BidResults	recorded performance needing the exchange's own bid outcomes
marketing/advertising/ad-operations	ToCreativeAssetStore	CampaignSubmitted	GetCreativeAsset	CreativeAssetResult	submission needing the creative pulled back for review
marketing/advertising/ad-serving	ToAdExchange	AdActivated	GetBidRequest	BidRequest	an active ad needing the requests it may bid on
marketing/advertising/ad-serving	ToAdVerification	ImpressionRecorded	GetVerification	VerificationResult	an impression being worth paying for only if independently verified
marketing/advertising/ad-serving	ToDataManagementPlatform	TargetingUpdated	GetAudienceSegments	AudienceSegments	changed targeting needing the segments it can actually address
marketing/advertising/media-buying	ToAnalyticsPlatform	OrderCompleted	GetCampaignROI	CampaignROI	a completed buy being when its return can finally be judged
marketing/advertising/media-buying	ToMediaVendor	MediaOrderCreated	GetAvailableInventory	AvailableInventory	an order needing to know what the vendor has left to sell
marketing/analytics/attribution	ToCRMSystem	ConversionRecorded	GetCustomerJourney	CustomerJourneyData	a conversion needing the journey the CRM already holds
marketing/analytics/attribution	ToWebAnalytics	ConversionPathCreated	GetPageViews	PageViewData	a new path needing the page views it is assembled from
marketing/analytics/audience-management	ToAdPlatform	SegmentActivated	GetChannelReach	ChannelReach	activation being when the segment's reach decides where to spend
marketing/analytics/audience-management	ToDataManagementPlatform	SegmentBuildStarted	GetCustomerProfiles	CustomerProfiles	a build needing the profiles it selects over
marketing/analytics/marketing-analytics	ToAdPlatform	ChannelMetricsAdded	GetAudienceInsights	AudienceInsights	channel metrics needing the audience behind them
marketing/analytics/marketing-analytics	ToAdPlatform	CampaignPerformanceAdded	GetCampaignData	CampaignData	campaign performance needing the platform's own spend and delivery
marketing/analytics/marketing-analytics	ToCRMSystem	AttributionResultsAdded	GetConversionData	ConversionRecords	attribution needing the conversions it assigns credit for
marketing/analytics/marketing-analytics	ToCRMSystem	ReportCreated	GetCustomerSegments	CustomerSegments	a new report needing the segments it will break results down by
marketing/analytics/marketing-analytics	ToWebAnalytics	ReportCompleted	GetGoalCompletions	GoalCompletions	a completed report needing goal completions to close the funnel
marketing/analytics/marketing-analytics	ToWebAnalytics	ReportGenerationStarted	GetTrafficData	TrafficData	a report starting needing the traffic it is built on
marketing/campaigns/marketing-automation	ToCRMSystem	LeadEnrolled	GetLeadInfo	LeadInfo	a lead entering a workflow needing the CRM's picture of who they are
marketing/campaigns/marketing-automation	ToCRMSystem	WorkflowActivated	GetSegmentMembers	SegmentMembers	an activated workflow needing the roster of the segment it targets
marketing/campaigns/marketing-automation	ToEmailDelivery	WorkflowCompleted	GetDeliveryStatus	DeliveryStatus	a completed workflow needing to know which of its mails actually arrived
natural-resources/agriculture/crop-management	ToEquipmentTracking	FieldPrepared	GetEquipmentLocation	EquipmentLocation	a prepared field needing to know where the machinery is
natural-resources/agriculture/crop-management	ToMarketPrices	HarvestCompleted	GetCropPrices	CropPriceInfo	a completed harvest needing the price it can be sold at
natural-resources/agriculture/crop-management	ToWeatherService	CropPlanted	GetForecast	WeatherForecast	a planted crop needing the forecast for the days that decide it
natural-resources/agriculture/crop-management	ToWeatherService	ScoutingRecorded	GetHistoricalWeather	HistoricalWeather	a scouting record needing the weather that explains what was seen
natural-resources/agriculture/farm-management	ToMarketPricing	HarvestRecorded	GetCropPrice	CropPrice	a recorded harvest needing today's price to value it
natural-resources/agriculture/farm-management	ToMarketPricing	HarvestPlanned	GetPriceForecast	PriceForecast	a planned harvest needing where prices are heading
natural-resources/agriculture/farm-management	ToWeatherService	IrrigationScheduled	GetForecast	WeatherForecast	scheduled irrigation needing the forecast that may make it pointless
natural-resources/agriculture/farm-management	ToWeatherService	SoilReadingRecorded	GetHistoricalWeather	HistoricalWeather	a soil reading needing the rain that came before it
natural-resources/agriculture/livestock-management	ToMarketExchange	AnimalSold	GetMarketPrices	MarketPrices	a sale needing the day's price to value it against
natural-resources/agriculture/livestock-management	ToVeterinarySystem	VetVisitRecorded	GetVaccinationHistory	VaccinationHistory	a vet visit needing what the animal has already been given
natural-resources/forestry/harvest-planning	ToContractorRegistry	HarvestScheduled	FindAvailableContractors	AvailableContractors	a scheduled harvest needing crews free on those dates
natural-resources/forestry/harvest-planning	ToEnvironmentalAgency	BlockDelineated	GetSpeciesAtRisk	SpeciesAtRiskReport	a newly drawn block needing to know what lives inside it
natural-resources/forestry/log-tracking	ToRegulatorySystem	LogRegistered	VerifyPermit	PermitVerification	registration needing the cutting permit to be real before the log moves
natural-resources/forestry/log-tracking	ToSawmillSystem	LogScaled	GetMillCapacity	MillCapacity	a scaled log needing a mill with room for the volume it turned out to be
natural-resources/forestry/log-tracking	ToTransportSystem	LogInTransit	GetTransportStatus	TransportStatus	a log in transit needing the carrier's own account of where it is
natural-resources/forestry/timber-management	ToLoggingContractor	TimberSaleRecorded	GetCrewAvailability	CrewAvailability	a sale committing volume that needs crews able to cut it
natural-resources/forestry/timber-management	ToNurserySupplier	HarvestCompleted	GetSeedlingAvailability	SeedlingAvailability	a finished harvest needing seedlings for the ground it opened up
natural-resources/forestry/timber-management	ToTimberBuyer	CruiseRecorded	GetCurrentPrices	TimberPrices	a cruise putting a volume on the stand that needs a price to be worth anything
natural-resources/mining/mine-operations	ToEnvironmentalComplianceService	ZoneCreated	GetPermitRequirements	PermitRequirements	a new zone needing to know what it must be permitted for
natural-resources/mining/mine-operations	ToEquipmentManagementService	DrillingStarted	GetEquipmentStatus	EquipmentStatus	drilling needing the rigs it depends on to be fit
natural-resources/mining/mine-operations	ToGeologicalSurveyService	ZoneSurveyed	GetOreBodyModel	OreBodyModel	a surveyed zone needing the geologist's model to compare against
natural-resources/mining/mineral-tracking	ToAssayLaboratory	GradeReconciled	GetAssayHistory	AssayHistory	reconciling grade needing every assay the lab has run on the batch
natural-resources/mining/mineral-tracking	ToSmelterSystem	ShippedToSmelter	GetDeliveryStatus	DeliveryStatus	a shipment needing the smelter's own view of whether it arrived
natural-resources/oil-gas/pipeline-operations	ToRegulatoryPortal	ComplianceReportFiled	GetComplianceStatus	ComplianceStatus	a filed report needing the regulator's standing on the segment
natural-resources/oil-gas/pipeline-operations	ToSCADASystem	FlowReadingRecorded	GetLiveReadings	LiveReadings	a recorded flow needing the live instrument picture around it
natural-resources/oil-gas/well-management	ToLandManagement	WellPlanned	GetLeaseInfo	LeaseInfo	a planned well needing the lease that permits it
natural-resources/oil-gas/well-management	ToSCADA	ProductionRecorded	GetWellTelemetry	WellTelemetry	recorded production needing the instrument readings behind the number
professional-services/accounting/audit-management	ToDocumentManagement	WorkpaperAdded	RetrieveDocument	DocumentContent	a workpaper being unreviewable without the document behind it
professional-services/accounting/audit-management	ToRegulatoryFiling	EngagementClosed	GetFilingStatus	FilingStatus	closing an engagement needing the filing it supports to have been accepted
professional-services/accounting/client-accounting	ToBankFeedService	AccountReconciled	GetTransactions	BankTransactionsResult	a reconciliation needing the bank's own transaction list
professional-services/accounting/client-accounting	ToDocumentStorageService	FinancialsReviewed	RetrieveDocument	DocumentResult	a review needing the source documents behind the numbers
professional-services/accounting/client-accounting	ToTaxService	InvoiceGenerated	GetTaxRates	TaxRatesResult	an invoice needing the rates that apply where the client sits
professional-services/hr-services/benefits-administration	ToInsuranceCarrier	PlanSelected	GetPlanDetails	PlanDetails	a selected plan needing the carrier's terms for it
professional-services/hr-services/benefits-administration	ToPayrollSystem	EnrollmentSubmitted	GetEmployeeCompensation	EmployeeCompensation	a submitted enrollment needing the pay its contributions are figured from
professional-services/hr-services/payroll-processing	ToHRISSystem	PayrollInitiated	GetEmployeeList	EmployeeList	a payroll run needing everyone who should be paid in it
professional-services/hr-services/payroll-processing	ToHRISSystem	PayrollCalculated	GetEmployeePayInfo	EmployeePayInfo	a calculated payroll needing each person's rate and standing deductions
professional-services/hr-services/payroll-processing	ToTaxService	PayrollCalculated	GetTaxCalculation	TaxCalculation	gross pay being what withholding is computed from
professional-services/hr-services/payroll-processing	ToTimeTracking	TimeEntryAdded	GetTimeEntries	TimeEntries	a time entry needing the tracked hours it should match
professional-services/hr-services/recruiting	ToBackgroundCheckService	OfferExtended	GetCheckStatus	CheckStatus	an extended offer needing the check to have cleared before it can be honoured
professional-services/hr-services/recruiting	ToJobBoardIntegration	RequisitionApproved	GetApplicationsFromBoard	BoardApplications	approval being when the role is live and applications start arriving
professional-services/legal/contract-lifecycle	ToDocumentRepository	ContractSubmittedForReview	GetDocument	DocumentContent	a review needing the text of the document it is about
professional-services/legal/contract-lifecycle	ToDocumentRepository	RedlineSubmitted	ListVersions	VersionList	a redline needing the version history it is marked against
professional-services/legal/contract-lifecycle	ToESignatureService	SignatureRecorded	GetEnvelopeStatus	EnvelopeStatus	a recorded signature needing the envelope's own account of who has signed
professional-services/legal/matter-management	ToCourtFilingSystem	MatterActivated	GetFilingDeadlines	FilingDeadlines	an activated matter needing the court's dates before anything can be scheduled
professional-services/legal/matter-management	ToTimekeepingSystem	MatterClosed	GetMatterBillingSummary	MatterBillingSummary	closing being when what the matter cost must be totalled
technology/devops/ci-cd-pipeline	ToArtifactStorageService	DeploymentApproved	DownloadArtifact	ArtifactDownloadUrl	an approved deployment needing the artifact it will actually ship
technology/devops/incident-management	ToPagerDutyIntegration	IncidentCreated	GetCurrentOnCall	OnCallResult	
technology/devops/infrastructure-as-code	ToCloudProviderService	DriftDetected	GetResourceState	ResourceCurrentState	drift being the claim that reality and the plan differ, which only the provider can settle
technology/devops/infrastructure-as-code	ToModuleRegistryService	StackCreated	GetModule	ModuleBundle	a new stack needing the module it is composed from
technology/devops/infrastructure-as-code	ToModuleRegistryService	PlanGenerated	ListModuleVersions	ModuleVersionList	a plan needing to know which module versions it could pin
technology/devops/infrastructure-as-code	ToSecretManagerService	StackApplyStarted	GetSecret	SecretValue	an apply needing the credentials it will authenticate with
technology/devops/infrastructure-as-code	ToStateBackendService	StackApplyStarted	LoadState	StateData	an apply needing the state it is diffing against
technology/devops/observability	ToDashboardService	AlertCreated	GetDashboard	DashboardConfig	a new alert needing the dashboard a responder will be sent to
technology/devops/observability	ToDistributedTracingService	AlertAcknowledged	GetTrace	TraceSearchResult	an acknowledged alert needing the one trace that shows the failure
technology/devops/observability	ToDistributedTracingService	AlertEscalated	SearchTraces	TraceSearchResult	an escalation needing the traces around the window that went wrong
technology/devops/observability	ToLogAggregationService	AlertAcknowledged	SearchLogs	LogSearchResult	an acknowledged alert needing the logs from the window it covers
technology/devops/observability	ToMetricsCollectionService	AlertResolved	QueryMetrics	MetricQueryResult	a resolved alert needing the metrics that show it really recovered
technology/saas/subscription-management	ToUsageMeteringService	SubscriptionRenewed	GetUsage	UsageData	a renewal needing the usage the period is billed on
technology/saas/tenant-provisioning	ToMonitoringService	ResourceScaled	GetTenantMetrics	TenantMetrics	a scaling decision needing what the tenant is actually consuming
technology/saas/usage-metering	ToBillingService	MeterClosed	GetInvoiceStatus	InvoiceStatusResult	closing a meter needing to know whether what it produced has been invoiced
technology/saas/usage-metering	ToEventIngestionService	BatchEventsRecorded	GetIngestionStats	IngestionStatsResult	a batch recorded needing ingestion's own count to reconcile against
technology/saas/usage-metering	ToSubscriptionService	MeterCreated	GetSubscriptionDetails	SubscriptionDetailsResult	a new meter needing the subscription that decides what it may measure
telecommunications/billing/revenue-assurance	ToBillingSystem	AuditCaseOpened	GetBillingRecords	BillingRecordsResult	an opened case needing the billing records it will be reconciled against
telecommunications/billing/revenue-assurance	ToNetworkUsageSystem	DiscrepancyRecorded	GetUnbilledServices	UnbilledServicesResult	a recorded discrepancy needing the services the network carried but billing never saw
telecommunications/billing/revenue-assurance	ToNetworkUsageSystem	RecordsReconciled	GetUsageRecords	UsageRecordsResult	a reconciliation needing the network's own usage records
telecommunications/billing/usage-rating	ToBillingSystem	UsageRecordValidated	GetAccountRatePlan	AccountRatePlan	a validated record needing the plan its charges will be figured from
telecommunications/billing/usage-rating	ToNetworkMediationSystem	UsageRecordRejected	GetMediationStatus	MediationStatus	a rejected record needing mediation's account of what it sent
telecommunications/customer/subscriber-management	ToBillingSystem	SupportTicketCreated	GetAccountBalance	AccountBalance	an agent needing what the subscriber owes before they talk
telecommunications/customer/subscriber-management	ToCRMSystem	SupportTicketCreated	GetCustomerHistory	CustomerHistory	and what has happened to them before
telecommunications/network/equipment-inventory	ToNetworkManagementSystem	EquipmentAllocated	GetNetworkTopology	NetworkTopology	an allocation needing to know where in the network the item is going
telecommunications/network/equipment-inventory	ToProcurementSystem	EquipmentReceived	GetVendorCatalog	VendorCatalog	a received item needing the catalogue entry to check it against
telecommunications/network/network-operations	ToCapacityPlanningSystem	IncidentEscalated	GetCapacityForecast	CapacityForecast	an escalation needing to know whether capacity was always going to run out
telecommunications/network/network-operations	ToNetworkMonitoringSystem	IncidentCreated	GetElementHealth	ElementHealthStatus	a new incident needing the health of the element it names
telecommunications/network/service-provisioning	ToNetworkElementManager	ServiceTested	GetElementStatus	ElementStatus	a test needing the element's own account of whether it is up
telecommunications/network/service-provisioning	ToNetworkInventorySystem	OrderValidated	GetAvailableResources	AvailableResources	a validated order needing free capacity before it can be designed
transportation/fleet/fleet-management	ToDriverManagementService	DriverUnassigned	GetAvailableDrivers	AvailableDrivers	a vehicle left without a driver needing to know who is free
transportation/fleet/fleet-management	ToDriverManagementService	DriverAssigned	GetDriverInfo	DriverDetails	an assignment needing the licence and record of the person taking the wheel
transportation/fleet/fleet-management	ToInsuranceService	VehicleRegistered	GetVehicleCoverage	VehicleCoverage	a newly registered vehicle needing the cover that applies to it
transportation/fleet/fleet-management	ToMaintenanceServiceProvider	MaintenanceReminderRaised	GetAvailableSlots	AvailableSlots	a raised reminder needing a slot before it can be booked
transportation/fleet/route-optimization	ToGeocodingService	StopAdded	GeocodeAddress	GeocodedLocation	an added stop needing its address turned into coordinates
transportation/fleet/route-optimization	ToGeocodingService	ArrivedAtStop	ReverseGeocode	AddressResult	an arrival needing the position turned back into an address
transportation/fleet/route-optimization	ToRoutingEngineService	RouteOptimized	CalculateRoute	DrivingRoute	an optimised route needing the driving path that realises it
transportation/fleet/route-optimization	ToRoutingEngineService	StopsReordered	GetDistanceMatrix	DistanceMatrix	reordered stops needing the distances between every pair
transportation/fleet/route-optimization	ToTrafficService	RouteStarted	GetTrafficConditions	TrafficConditions	a route starting needing the traffic it will actually meet
transportation/freight/customs-brokerage	ToCBPAceService	ReleaseRequested	GetEntryStatus	EntryStatusResult	release being pursued only against a known entry status
transportation/freight/customs-brokerage	ToDocumentManagementService	InquiryResponseSubmitted	GetDocument	DocumentResult	an inquiry response needing the document CBP asked about
transportation/freight/customs-brokerage	ToHTSClassificationService	EntryCreated	ClassifyProduct	ClassificationResult	a new entry needing each product's tariff classification
transportation/freight/customs-brokerage	ToHTSClassificationService	ProtestFiled	GetRuling	RulingResult	a protest needing the binding ruling it will argue from
transportation/freight/customs-brokerage	ToTradeAgreementService	EntryCreated	CheckEligibility	EligibilityResult	a new entry needing to know which agreement it can claim
transportation/freight/customs-brokerage	ToTradeAgreementService	DocumentAttached	GetCertificateRequirements	CertificateRequirementsResult	an attached document needing the certificate rules it must satisfy
transportation/freight/freight-forwarding	ToAirCarrierService	PickupScheduled	GetFlights	FlightResult	a scheduled pickup needing flights that can take the freight onward
transportation/freight/freight-forwarding	ToContainerTrackingService	ContainerSealUpdated	TrackContainer	ContainerTrackingResult	a resealed container needing the carrier's own track on it
transportation/freight/freight-forwarding	ToOceanCarrierService	ShipmentCreated	GetSchedules	ScheduleResult	a new shipment needing sailings it could be booked onto
transportation/freight/freight-forwarding	ToRatingService	ContainersAssigned	GetRates	RatesResult	assigned containers needing rates for the volume they come to
transportation/freight/intermodal	ToChassisPoolService	DestinationDrayScheduled	GetChassisAvailability	ChassisAvailabilityResult	a destination dray needing a chassis at the far terminal
transportation/freight/intermodal	ToIntermodalRatingService	MoveCreated	GetRates	RatesResult	a new move needing a rate for the rail and dray legs together
transportation/freight/intermodal	ToRailCarrierService	TerminalIngateRecorded	GetAvailability	AvailabilityResult	a box through the gate needing a train with room for it
transportation/maritime/port-operations	ToPilotCoordinationService	BerthRequested	GetAvailablePilots	AvailablePilotsResult	a berth request needing a pilot free for the window
transportation/maritime/port-operations	ToTerminalOperatingSystem	CargoOperationsStarted	GetYardCapacity	YardCapacityResult	cargo work starting needing somewhere in the yard for what comes off
transportation/maritime/port-operations	ToTowageService	VesselArrived	GetAvailableTugs	AvailableTugsResult	an arriving vessel needing tugs free to bring it in
transportation/maritime/port-operations	ToVesselTrafficService	BerthRequested	GetVesselPosition	VesselPositionResult	a berth request needing to know where the vessel actually is
transportation/maritime/vessel-management	ToAISService	PositionUpdated	GetVesselAIS	VesselAISResult	a position report needing AIS to confirm it
transportation/maritime/vessel-management	ToBunkerSupplierService	PortArrivalRecorded	GetBunkerAvailability	BunkerAvailabilityResult	an arrival needing to know what fuel the port can supply
transportation/maritime/vessel-management	ToCharterPartyService	VoyageCreated	GetCharterParty	CharterPartyResult	a new voyage needing the charter that governs it
transportation/maritime/vessel-management	ToClassificationSocietyService	CertificateRenewed	GetCertificateStatus	CertificateStatusResult	a renewed certificate needing the society to have actually issued it
transportation/maritime/vessel-management	ToCrewManagementService	VoyageCreated	GetAvailableCrew	AvailableCrewResult	a new voyage needing crew able to sail it
transportation/maritime/vessel-management	ToWeatherService	VoyageCreated	GetRouteWeather	RouteWeatherResult	a new voyage needing the weather along the track it will sail
transportation/maritime/vessel-management	ToWeatherService	PortDepartureRecorded	GetWeatherForecast	RouteWeatherResult	a departure needing the forecast for the first days out
transportation/passenger/ride-sharing	ToDriverMatchingService	RideRequested	GetAvailableDrivers	AvailableDrivers	a request being unmatchable without drivers near enough to take it
transportation/passenger/ride-sharing	ToFareCalculationService	RideRequested	GetFareCalculation	FareCalculation	and a rider being owed a price before they commit
transportation/passenger/ride-sharing	ToFareCalculationService	TripCompleted	GetFinalFare	FinalFare	the trip actually taken is what is finally charged, and the fare is what the ride charges
transportation/passenger/ride-sharing	ToRoutingService	DriverIsEnRoute	GetETA	ETAResult	a driver en route needing an arrival time to show the rider
transportation/passenger/ride-sharing	ToRoutingService	TripStarted	GetRoute	RouteResult	a trip starting needing the path to the destination
transportation/passenger/transit-operations	ToCADService	TripAssigned	GetActiveVehicles	ActiveVehiclesResult	assigning a trip needing to know which vehicles are actually running
transportation/passenger/transit-operations	ToFareCollectionService	TripCompleted	GetVehicleFareTotal	VehicleFareTotalResult	a completed trip needing the fares taken on it
transportation/passenger/transit-operations	ToMaintenanceService	TripAssigned	GetVehicleMaintenanceStatus	MaintenanceStatusResult	a trip assignment needing the vehicle to be fit to run it
transportation/passenger/transit-operations	ToScheduleService	StopEventRecorded	GetStopTimes	StopTimesResult	a stop event needing the scheduled time to measure lateness against
transportation/passenger/transit-operations	ToScheduleService	TripAssigned	GetTodaySchedule	ScheduleResult	an assigned trip needing today's schedule it must run to
utilities/electric/grid-operations	ToEnergyMarketSystem	SwitchingExecuted	GetMarketPrices	MarketPrices	a switching action needing the price of the energy it moves
utilities/electric/grid-operations	ToOutageManagementSystem	ServiceRestored	GetOutageStatus	OutageStatusInfo	a restoration needing the outage system's own account of what is still dark
utilities/electric/grid-operations	ToSCADASystem	SwitchingExecuted	GetRealTimeData	RealTimeData	switching needing live telemetry to confirm the network followed
utilities/electric/outage-management	ToCrewDispatchSystem	OutageConfirmed	GetAvailableCrews	AvailableCrews	a confirmed outage needing a crew who can be sent
utilities/electric/outage-management	ToSCADASystem	OutageReported	GetFeederStatus	FeederStatus	a reported outage needing the feeder's own state before a crew is sent
utilities/gas/gas-distribution	ToPipelineSCADA	LeakReported	GetRealtimePressure	RealtimePressure	a reported leak needing live pressure to locate and size it
utilities/metering/billing-settlement	ToEnergySupplierGateway	UsageCalculated	GetSupplierRates	SupplierRates	calculated usage needing the supplier's rates to turn into money
utilities/metering/billing-settlement	ToMeterDataSystem	BillDisputed	GetMeterReadings	MeterReadings	a disputed bill needing the readings it was built from
utilities/metering/smart-metering	ToHeadEndSystem	AlertRaised	GetMeterStatus	MeterStatusResult	an alert needing the head-end's own view of the meter
utilities/metering/smart-metering	ToMeterDataManagement	ReadingRecorded	GetValidation	ValidationResult	a reading being unbillable until it is validated
utilities/water/water-utility	ToRegulatoryReporting	SystemRegistered	GetComplianceRequirements	ComplianceRequirements	a newly registered system needing the rules it will be held to
utilities/water/water-utility	ToSCADASystem	AlertRaised	GetSensorReadings	SensorReadings	a raised alert needing the sensor readings behind it
